
src vocab: 37000  tgt vocab: 37000
step=13400 lr=0.000382 train_loss=4.7054
step=13500 lr=0.000380 train_loss=4.6551
step=13600 lr=0.000379 train_loss=4.6929
step=13700 lr=0.000378 train_loss=4.6960
step=13800 lr=0.000376 train_loss=4.6820
step=13900 lr=0.000375 train_loss=4.6562
step=14000 lr=0.000374 train_loss=4.6871
step=14000 val_loss=5.1321
step=14100 lr=0.000372 train_loss=4.6607
step=14200 lr=0.000371 train_loss=4.6678
step=14300 lr=0.000370 train_loss=4.6727
step=14400 lr=0.000368 train_loss=4.6660
step=14500 lr=0.000367 train_loss=4.6478
step=14600 lr=0.000366 train_loss=4.6564
step=14700 lr=0.000365 train_loss=4.6709
step=14800 lr=0.000363 train_loss=4.6533
step=14900 lr=0.000362 train_loss=4.6295
step=15000 lr=0.000361 train_loss=4.6335
step=15100 lr=0.000360 train_loss=4.6167
step=15200 lr=0.000358 train_loss=4.6680
step=15300 lr=0.000357 train_loss=4.6489
step=15400 lr=0.000356 train_loss=4.6133
step=15500 lr=0.000355 train_loss=4.6260
step=15600 lr=0.000354 train_loss=4.6035
step=15700 lr=0.000353 train_loss=4.6121
step=15800 lr=0.000352 train_loss=4.6074
step=15900 lr=0.000350 train_loss=4.6289
step=16000 lr=0.000349 train_loss=4.6025
step=16000 val_loss=5.8840
step=16100 lr=0.000348 train_loss=4.6338
step=16200 lr=0.000347 train_loss=4.6122
step=16300 lr=0.000346 train_loss=4.6087
step=16400 lr=0.000345 train_loss=4.5843
step=16500 lr=0.000344 train_loss=4.5809
step=16600 lr=0.000343 train_loss=4.5982
step=16700 lr=0.000342 train_loss=4.5795
step=16800 lr=0.000341 train_loss=4.6077
step=16900 lr=0.000340 train_loss=4.5769
step=17000 lr=0.000339 train_loss=4.5870
step=17100 lr=0.000338 train_loss=4.5600
step=17200 lr=0.000337 train_loss=4.5634
step=17300 lr=0.000336 train_loss=4.5790
step=17400 lr=0.000335 train_loss=4.5572
step=17500 lr=0.000334 train_loss=4.5565
step=17600 lr=0.000333 train_loss=4.5659
step=17700 lr=0.000332 train_loss=4.5284
step=17800 lr=0.000331 train_loss=4.5274
step=17900 lr=0.000330 train_loss=4.5361
step=18000 lr=0.000329 train_loss=4.5221
step=18000 val_loss=6.3358
step=18100 lr=0.000328 train_loss=4.5595
step=18200 lr=0.000328 train_loss=4.5193
step=18300 lr=0.000327 train_loss=4.5167
step=18400 lr=0.000326 train_loss=4.5120
step=18500 lr=0.000325 train_loss=4.5373
step=18600 lr=0.000324 train_loss=4.5315
step=18700 lr=0.000323 train_loss=4.5185
step=18800 lr=0.000322 train_loss=4.5085
step=18900 lr=0.000321 train_loss=4.4882
step=19000 lr=0.000321 train_loss=4.5120
step=19100 lr=0.000320 train_loss=4.5025
step=19200 lr=0.000319 train_loss=4.4777
step=19300 lr=0.000318 train_loss=4.5065
step=19400 lr=0.000317 train_loss=4.4754
step=19500 lr=0.000316 train_loss=4.4832
step=19600 lr=0.000316 train_loss=4.4833
step=19700 lr=0.000315 train_loss=4.5075
step=19800 lr=0.000314 train_loss=4.4787
step=19900 lr=0.000313 train_loss=4.5078
step=20000 lr=0.000313 train_loss=4.5087
step=20000 val_loss=7.5901
step=20100 lr=0.000312 train_loss=4.4761
step=20200 lr=0.000311 train_loss=4.4934
step=20300 lr=0.000310 train_loss=4.4860
step=20400 lr=0.000309 train_loss=4.4811
step=20500 lr=0.000309 train_loss=4.4693
step=20600 lr=0.000308 train_loss=4.4835
step=20700 lr=0.000307 train_loss=4.4762
step=20800 lr=0.000306 train_loss=4.4713
step=20900 lr=0.000306 train_loss=4.4594
step=21000 lr=0.000305 train_loss=4.4770
step=21100 lr=0.000304 train_loss=4.4634
step=21200 lr=0.000304 train_loss=4.4619
step=21300 lr=0.000303 train_loss=4.4453
step=21400 lr=0.000302 train_loss=4.4626
step=21500 lr=0.000301 train_loss=4.4785
step=21600 lr=0.000301 train_loss=4.4490
step=21700 lr=0.000300 train_loss=4.4494
step=21800 lr=0.000299 train_loss=4.4661
step=21900 lr=0.000299 train_loss=4.4389
step=22000 lr=0.000298 train_loss=4.4622
step=22000 val_loss=7.3415
step=22100 lr=0.000297 train_loss=4.4475
step=22200 lr=0.000297 train_loss=4.4522
